episode,title,type,note,source
1,Enter: Naruto Uzumaki!,must-watch,Pilote - Introduction de Naruto,animefillerlist
2,My Name is Konohamaru!,must-watch,Introduction de Konohamaru,
3,Sasuke and Sakura: Friends or Foes?,optional,Développement relation,
4,Pass or Fail: Survival Test,optional,Test de survie,
5,You Failed! Kakashi's Final Decision,must-watch,Décision de Kakashi,
6,A Dangerous Mission! Journey to the Land of Waves!,must-watch,Début arc Land of Waves,
7,The Assassin of the Mist!,must-watch,Zabuza apparaît,
8,The Oath of Pain,must-watch,Combat Naruto vs Zabuza,
9,Kakashi: Sharingan Warrior!,must-watch,Kakashi utilise le Sharingan,
10,The Forest of Chakra,must-watch,Suite combat,
11,The Land Where a Hero Once Lived,must-watch,Histoire de Haku,
12,Battle on the Bridge! Zabuza Returns!!,must-watch,Combat final,
13,Haku's Secret Jutsu: Crystal Ice Mirrors,must-watch,Secret de Haku,
14,The Number One Hyperactive Knucklehead Ninja Joins the Fight!,must-watch,Naruto se bat,
15,Zero Visibility: The Sharingan Shatters,must-watch,Suite combat,
16,The Broken Seal,must-watch,Kyubi se réveille,
17,White Past: Hidden Ambition,must-watch,Passé de Haku,
18,The Weapons Known as Shinobi,must-watch,Mort de Haku et Zabuza,
19,The Demon in the Snow,must-watch,Fin arc Land of Waves,
20,A New Chapter Begins: The Chunin Exam!,must-watch,Début examen Chunin,
21,Identify Yourself: Powerful New Rivals,must-watch,Nouveaux rivaux,
22,Chunin Challenge: Rock Lee vs. Sasuke!,must-watch,Lee vs Sasuke,
23,Genin Takedown! All Nine Rookies Face Off!,must-watch,9 rookies,
24,Start Your Engines: The Chunin Exam Begins!,must-watch,Début épreuve écrite,
25,The Tenth Question: All or Nothing!,must-watch,Question 10,
26,Special Report: Live from the Forest of Death!,must-watch,Début épreuve forêt,
27,The Chunin Exam Stage 2: The Forest of Death,must-watch,Forêt de la mort,
28,Eat or be Eaten: Panic in the Forest,must-watch,Orochimaru apparaît,
29,Naruto's Counterattack: Never Give In!,must-watch,Naruto vs Orochimaru,
30,The Sharingan Revived: Dragon-Flame Jutsu!,must-watch,Sasuke vs Orochimaru,
31,Bushy Brow's Pledge: Undying Love and Protection!,must-watch,Lee protège Sakura,
32,Sakura Blossoms!,must-watch,Sakura se bat,
33,Battle Formation: Ino-Shika-Cho!,must-watch,Formation Ino-Shika-Cho,
34,Akamaru Trembles: Gaara's Cruel Strength!,must-watch,Gaara cruel,
35,The Scroll's Secret: No Peeking Allowed,must-watch,Secret du parchemin,
36,Clone vs. Clone: Mine are Better than Yours!,optional,Filler,
37,Surviving the Cut! The Rookie Nine Together Again!,must-watch,9 survivants,
38,Narrowing the Field: Sudden Death Elimination!,must-watch,Elimination,
39,Bushy Brow's Jealousy: Lions Barrage Unleashed!,optional,Filler,
40,Kakashi and Orochimaru: Face-to-Face!,must-watch,Confrontation,
41,Kunoichi Rumble: The Rivals Get Serious!,must-watch,Combat filles,
42,The Ultimate Battle: Cha!,must-watch,Sakura vs Ino,
43,Killer Kunoichi and a Shaky Shikamaru,must-watch,Temari vs Tenten,
44,Akamaru Unleashed! Who's Top Dog Now?,optional,Filler,
45,Surprise Attack! Naruto's Secret Weapon!,must-watch,Secret de Naruto,
46,Byakugan Battle: Hinata Grows Bold!,must-watch,Hinata vs Neji,
47,A Failure Stands Tall!,must-watch,Discours de Naruto,
48,Gaara vs. Rock Lee: The Power of Youth Explodes!,must-watch,Combat légendaire,
49,Lee's Hidden Strength: Forbidden Secret Jutsu!,must-watch,8 portes,
50,The Fifth Gate: A Splendid Ninja is Born!,must-watch,Lee utilise les 8 portes,
51,A Shadow in Darkness: Danger Approaches Sasuke,must-watch,Gaara terrifiant,
52,Ebisu Returns: Naruto's Toughest Training Yet!,optional,Filler,
53,Long Time No See: Jiraiya Returns!,must-watch,Jiraiya arrive,
54,The Summoning Jutsu: Wisdom of the Toad Sage!,must-watch,Invocation,
55,A Feeling of Yearning a Flower of Hope,optional,Filler,
56,Live or Die: Risk it All to Win it All!,must-watch,Entraînement,
57,He Flies! He Jumps! He Lurks! Chief Toad Appears!,must-watch,Gamabunta,
58,Forecast: Death! Cloudy with Chance of Sun!,optional,Filler,
59,The Final Rounds: Rush to the Battle Arena!,must-watch,Début finales,
60,Byakugan vs. Shadow Clone,must-watch,Hinata vs Neji début,
61,Ultimate Defense: Zero Blind Spot!,must-watch,Byakugan complet,
62,A Failure's True Power,must-watch,Naruto soutient Hinata,
63,Hit it or Quit it: The Final Rounds Get Complicated!,must-watch,Tirage au sort,
64,Zero Motivation: The Guy with Cloud Envy!,optional,Filler,
65,Dancing Leaf: Super Crimson Fang!,optional,Filler,
66,Booming Strike: Tsunade's Choice!,optional,Filler,
67,Assault of the Crazed Ninja!,optional,Filler,
68,An Unrivaled Match: Hokage Battle Royale!,optional,Filler,
69,An Unrivaled Match: Hokage Battle Royale Part 2!,optional,Filler,
70,A Shirker's Call to Action: A Layabout No More!,optional,Filler,
71,An Unrivaled Match: Hokage Battle Royale Part 3!,optional,Filler,
72,A Mistake from the Past: A Face Revealed!,optional,Filler,
73,Forbidden Secret Jutsu: Shiki Fujin!,optional,Filler,
74,Astonishing Truth! Gaara's Identity Emerges!,optional,Filler,
75,Sasuke's Decision: Pushed to the Edge!,optional,Filler,
76,Assassin of the Moonlit Night,optional,Filler,
77,Light vs. Dark: The Two Faces of Gaara,optional,Filler,
78,Naruto's Ninja Handbook,optional,Filler,
79,Beyond the Limit of Darkness and Light,optional,Filler - Dernier avant retour canon,
80,The Third Hokage Sealed!,must-watch,Début arc retour canon,
81,Return of the Morning Mist,must-work,Retour au canon,
82,Eye to Eye: Sharingan vs. Sharingan!,must-watch,Kakashi vs Itachi,
83,Jiraiya: Naruto's Potential Disaster!,must-watch,Jiraiya entraine Naruto,
84,Roar Chidori! Brother vs. Brother!,must-watch,Sasuke vs Itachi,
85,Hate Among the Uchihas: The Last of the Clan!,must-watch,Histoire Uchiha,
86,A New Training Begins: I Will Be Strong!,must-watch,Nouvel entraînement,
87,Keep on Training: Pop Goes the Water Balloon!,must-watch,Rasengan training,
88,Focal Point: The Mark of the Leaf,must-watch,Suite entraînement,
89,An Impossible Choice: The Pain Within Tsunade's Heart,must-watch,Histoire Tsunade,
90,Unforgivable! A Total Lack of Respect!,must-watch,Orochimaru vs Jiraiya,
91,Inheritance! The Necklace of Death!,must-watch,Collier de Tsunade,
92,A Dubious Offer! Tsunade's Choice!,must-watch,Décision de Tsunade,
93,Breakdown! The Deal is Off!,must-watch,Combat début,
94,Attack! Fury of the Rasengan!,must-watch,Rasengan complet,
95,The Fifth Hokage! A Life on the Line!,must-watch,Tsunade devient Hokage,
96,Deadlock! Sannin Showdown!,must-watch,Combat 3 Sannin,
97,Kidnapped! Naruto's Hot Spring Adventure!,optional,Filler,
98,Tsunade's Warning: Ninja No More!,optional,Filler,
99,The Will of Fire Still Burns!,optional,Filler,
100,Sensei and Student: The Bond of the Shinobi,must-watch,Retour canon - départ Sasuke,
